"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bahamas, The","BHS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7952098846436","","","","","","","","","","12.4952255987713","12.3615014826565","12.1764484167983","12.1424660852394","12.0861684638054","11.5541169421682","11.6442261202761","11.5325187865534","12.7988041921042","12.9164965230537","12.6566403628894","10.6851768495684","10.3566126185111","11.5972390755357","10.8463655256369","10.6193577802838",
"Bosnia and Herzegovina","BIH","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2865800857544","","9.6307897567749","10.133150100708","","10.1768798828125","","","","",
"Belarus","BLR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5523500442505","12.6201095581055","12.4503202438354","10.1337203979492","","8.44954967498779","11.7781295776367","11.6266498565674","12.7523002624512","12.2739896774292","12.406720161438","11.4617300033569","12.1587800979614","12.2816896438599","12.7802095413208","13.3307399749756","12.7811498641968","12.8159999847412","12.1897497177124","12.2823801040649","13.1803302764893","",
"Belize","BLZ","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2827091217041","15.6122598648071","18.3053703308106","","16.0251903533936","16.3242797851562","","","","19.4965991973877","22.0576095581055","22.6104698181152","21.5642707347762","21.23012168502","23.1328201293945","21.5630798339844","21.59255027771","20.4853000640869","21.5186595916748","22.149019241333","22.2200603485107","18.9935398101807","17.9535694122314","17.8313503265381","18.5317096710205","18.9034569346512","",
"Bermuda","BMU","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.036600112915","11.1138496398926","12.1054000854492","","","","13.9704303741455","12.9342403411865","","","","7.79644012451172","9.01879978179932","","7.77346992492676","","","","","","","","",
"Bolivia","BOL","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5667705535889","20.5818996429443","19.0274791717529","22.8131809234619","22.1394195556641","18.2445392608643","18.3915691375732","19.1963806152344","18.1302604675293","18.2940692901611","20.3791904449463","20.95578956604","21.2533798217773","22.3840599060059","22.9417705535889","22.9013805389404","21.0513381966153","10.8","10.8300258323982","",
"Brazil","BRA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.65944004058838","8.42879009246826","","10.0161695480347","10.6975202560425","11.4433298110962","12.3272495269775","13.1999702453613","13.4780702590942","14.2950096130371","14.5740699768066","14.8948698043823","14.6777896881103","14.3591403961182","13.5114603042603","13.8761100769043","14.2683095932007","13.7809400558472","13.8547201156616","12.4982500076294","13.6161603927612","12.9340095520019","","","",
"Barbados","BRB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1681995391846","22.1503505706787","26.8888206481934","24.7244892120361","18.5845603942871","18.6181392669678","18.2429790496826","","17.2209701538086","15.7106504440308","16.1005802154541","18.0963306427002","","16.7026901245117","14.844820022583","17.4510593414307","17.8095471935802","13.3624496459961","12.879150390625","16.3585713461348","13.8598604202271","16.1424694061279","14.8447303771973","12.7307195663452","12.4731502532959","11.8397173396086","14.1875302890964",
"Brunei Darussalam","BRN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","13.0709896087647","11.2389698028565","","","","","9.58600997924805","11.8434295654297","10.0657901763916","8.71026992797852","8.22681999206543","9.18062973022461","9.27600002288818","","","","","8.76089000701904","8.89342975616455","8.92074012756348","","","","","","","","","","5.30208015441895","9.18218994140625","9.72642040252686","","9.98460006713867","","11.4419498443603","","","","","","","","","",
"Bhutan","BTN","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9203901290894","13.2260999679565","","","18.6066303253174","22.8328609466553","","","15.1049098968506","12.8447103500366","10.2955198287964","11.3875102996826","","15.6869497299194","17.4541397094727","25.3450698852539","24.3686199188232","23.0447292327881","21.8548202514648","18.0860352556706","16.2551386021737","16.9022955201722","22.1064354322847","19.1911106109619","17.1757535347175","22.2165828583858",
